"","Delegacia","Furto de Bicicleta","Roubo de Bicicleta","Bairro","BAIRRO","FB","FB1","FB2","roubo_geral"
"1","1ª DP - Praça Mauá",0,1,"Praça Mauá","Praça Mauá","","0","",1
"2","4ª DP - Praça da República",0,1,"Praça da República","Praça da República","","0","",1
"3","5ª DP - Mem de Sá",0,1,"Mem de Sá","Mem de Sá","","0","",1
"4","6ª DP - Cidade Nova",1,1,"Cidade Nova","Cidade Nova","","1","",2
"5","7ª DP - Santa Tereza",0,1,"Santa Tereza","Santa Tereza","","0","",1
"6","9ª DP - Catete",5,2,"Catete","Catete","","5","",7
"7","10ª DP - Botafogo",6,1,"Botafogo","Botafogo","","6","",7
"8","11ª DP - Rocinha",0,1,"Rocinha","Rocinha","","0","",1
"9","12ª DP - Copacabana",5,1,"Copacabana","Copacabana","","5","",6
"10","13ª DP - Ipanema",1,1,"Ipanema","Ipanema","","1","",2
"11","14ª DP - Leblon",7,2,"Leblon","Leblon","","7","",9
"12","15ª DP - Gávea",0,2,"Gávea","Gávea","","0","",2
"13","16ª DP - Barra da Tijuca",2,1,"Barra da Tijuca","Barra da Tijuca","","2","",3
"14","17ª DP - São Cristóvão",1,1,"São Cristóvão","São Cristóvão","","1","",2
"15","18ª DP - Praça da Bandeira",3,2,"Praça da Bandeira","Praça da Bandeira","","3","",5
"16","19ª DP - Tijuca",1,1,"Tijuca","Tijuca","","1","",2
"17","20ª DP - Grajaú",1,2,"Grajaú","Grajaú","","1","",3
"18","21ª DP - Bonsucesso",1,1,"Bonsucesso","Bonsucesso","","1","",2
"19","22ª DP - Penha",0,1,"Penha","Penha","","0","",1
"20","23ª DP - Meier",1,1,"Meier","Meier","","1","",2
"21","24ª DP - Piedade",0,1,"Piedade","Piedade","","0","",1
"22","25ª DP - Engenho Novo",1,1,"Engenho Novo","Engenho Novo","","1","",2
"23","26ª DP - Todos os Santos",2,1,"Todos os Santos","Todos os Santos","","2","",3
"24","27ª DP - Vicente de Carvalho",3,1,"Vicente de Carvalho","Vicente de Carvalho","","3","",4
"25","28ª DP - Campinho",0,1,"Campinho","Campinho","","0","",1
"26","29ª DP - Madureira",0,1,"Madureira","Madureira","","0","",1
"27","30ª DP - Marechal Hermes",0,1,"Marechal Hermes","Marechal Hermes","","0","",1
"28","31ª DP - Ricardo Albuquerque",0,1,"Ricardo Albuquerque","Ricardo Albuquerque","","0","",1
"29","32ª DP - Taquara",0,1,"Taquara","Taquara","","0","",1
"30","33ª DP - Realengo",0,1,"Realengo","Realengo","","0","",1
"31","34ª DP - Bangu",1,1,"Bangu","Bangu","","1","",2
"32","35ª DP - Campo Grande",0,1,"Campo Grande","Campo Grande","","0","",1
"33","36ª DP - Santa Cruz",1,1,"Santa Cruz","Santa Cruz","","1","",2
"34","37ª DP - Ilha do Governador",0,1,"Ilha do Governador","Ilha do Governador","","0","",1
"35","38ª DP - Braz de Pina",1,1,"Braz de Pina","Braz de Pina","","1","",2
"36","39ª DP - Pavuna",0,1,"Pavuna","Pavuna","","0","",1
