;OBJECTID;�.rea;NOME;NOME2;REGIAO_ADM;AREA_PLANE;CODBAIRRO;CODRA;CODBNUM;LINK;SHAPESTAre;SHAPESTLen;RP;Cod_RP;CODBAIRRO_
0;425;36.381.761.980.746;Saúde;SA�DE;PORTUARIA;1;1;1;1;Saúde                     &area=1;363.817.622.558.594;264.621.698.637.809;Centro;1.1;1
1;420;111.290.275.309.134;Gamboa;GAMBOA;PORTUARIA;1;2;1;2;Gamboa                    &area=2;111.290.274.121.094;461.282.741.384.631;Centro;1.1;2
2;421;168.472.059.264.746;Santo Cristo;SANTO CRISTO;PORTUARIA;1;3;1;3;Santo Cristo              &area=3;168.472.066.113.281;6.743.218.804.425;Centro;1.1;3
3;482;534.748.058.151.952;Caju;CAJU;PORTUARIA;1;4;1;4;Caju                      &area=4;534.748.057.666.016;198.004.959.422.699;Centro;1.1;4
4;422;572.306.497.848.199;Centro;CENTRO;CENTRO;1;5;2;5;Centro                    &area=5;54.247.391.953.125;228.462.143.055.262;Centro;1.1;5
5;443;53.945.844.255.646;Catumbi;CATUMBI;RIO COMPRIDO;1;6;3;6;Catumbi                   &area=6;539.458.441.894.531;512.370.530.264.098;Centro;1.1;6
6;439;334.251.061.257.775;Rio Comprido;RIO COMPRIDO;RIO COMPRIDO;1;7;3;7;Rio Comprido              &area=7;334.251.064.160.156;126.810.617.119.543;Centro;1.1;7
7;434;93.485.288.183.123;Cidade Nova;CIDADE NOVA;RIO COMPRIDO;1;8;3;8;Cidade Nova               &area=8;934.852.883.789.062;47.901.101.594.405;Centro;1.1;8
8;441;98.040.065.161.708;Estácio;EST�CIO;RIO COMPRIDO;1;9;3;9;Estácio                   &area=9;980.400.665.039.062;526.942.559.088.919;Centro;1.1;9
9;412;410.564.391.767.016;São Cristóvão;S�O CRIST�V�O;SAO CRISTOVAO;1;10;7;10;São Cristóvão             &area=10;410.564.388.916.016;1.412.906.575.644;Centro;1.1;10
10;428;79.812.892.857.027;Mangueira;MANGUEIRA;SAO CRISTOVAO;1;11;7;11;Mangueira                 &area=11;798.128.920.898.438;448.900.342.263.278;Centro;1.1;11
11;410;173.641.278.176.939;Benfica;BENFICA;SAO CRISTOVAO;1;12;7;12;Benfica                   &area=12;173.641.280.761.719;909.797.824.523.154;Centro;1.1;12
12;325;170.568.449.376.977;Paquetá;PAQUET�;PAQUETA;1;13;21;13;Paqueta&area=013;170.568.450.390.625;2.484.142.666.857;Centro;1.1;13
13;440;515.712.861.092.216;Santa Teresa;SANTA TEREZA;SANTA TEREZA;1;14;23;14;Santa Teresa              &area=14;515.712.851.367.188;273.448.039.965.967;Centro;1.1;14
14;448;164.625.360.622.931;Flamengo;FLAMENGO;BOTAFOGO;2;15;4;15;Flamengo                  &area=15;164.625.358.740.234;666.534.040.366.758;Zona Sul;2.1;15
15;438;114.006.553.163.558;Glória;GL�RIA;BOTAFOGO;2;16;4;16;Glória                    &area=16;114.006.548.193.359;722.523.890.703.653;Zona Sul;2.1;16
16;449;249.350.731.693.661;Laranjeiras;LARANJEIRAS;BOTAFOGO;2;17;4;17;Laranjeiras               &area=17;249.350.737.158.203;105.371.143.694.833;Zona Sul;2.1;17
