circ;mes;vano;pop_circ
1;7;2006;1586.857274
1;8;2006;1587.866084
1;9;2006;1588.875536
1;10;2006;1589.88563
1;11;2006;1590.896366
1;12;2006;1591.907744
1;1;2007;1592.919765
1;2;2007;1593.93243
1;3;2007;1594.945738
1;4;2007;1595.959691
1;5;2007;1596.974288
1;6;2007;1597.98953
1;7;2007;1598.963001
1;8;2007;1599.979507
1;9;2007;1600.99666
1;10;2007;1602.014459
1;11;2007;1603.032906
1;12;2007;1604.051999
1;1;2008;1605.071741
1;2;2008;1606.092131
1;3;2008;1607.11317
1;4;2008;1608.134858
1;5;2008;1609.157195
1;6;2008;1610.180182
1;7;2008;1611.161079
1;8;2008;1612.18534
1;9;2008;1613.210252
1;10;2008;1614.235816
1;11;2008;1615.262032
1;12;2008;1616.2889
1;1;2009;1617.316421
1;2;2009;1618.344596
1;3;2009;1619.373423
1;4;2009;1620.402905
1;5;2009;1621.433042
1;6;2009;1622.463833
1;7;2009;1623.452213
1;8;2009;1624.404897
1;9;2009;1625.358141
1;10;2009;1626.311944
1;11;2009;1627.266307
1;12;2009;1628.22123
1;1;2010;1629.176713
1;2;2010;1630.132757
1;3;2010;1631.089362
1;4;2010;1632.046528
1;5;2010;1633.004256
1;6;2010;1633.962546
1;7;2010;1634.921398
1;8;2010;1635.837113
1;9;2010;1636.877061
1;10;2010;1637.917671
1;11;2010;1638.958942
1;12;2010;1640.000875
1;1;2011;1641.04347
1;2;2011;1642.086729
1;3;2011;1643.13065
1;4;2011;1644.175235
1;5;2011;1645.220485
1;6;2011;1646.266398
1;7;2011;1645.025883
1;8;2011;1645.766552
1;9;2011;1646.507554
1;10;2011;1647.24889
1;11;2011;1647.990559
1;12;2011;1648.732563
1;1;2012;1649.474901
1;2;2012;1650.217573
1;3;2012;1650.960579
1;4;2012;1651.70392
1;5;2012;1652.447595
1;6;2012;1653.191606
1;7;2012;1653.913908
1;8;2012;1654.768693
1;9;2012;1655.62392
1;10;2012;1656.479589
1;11;2012;1657.335701
1;12;2012;1658.192255
1;1;2013;1659.049251
1;2;2013;1659.906691
1;3;2013;1660.764573
1;4;2013;1661.622899
1;5;2013;1662.481669
1;6;2013;1663.340882
1;7;2013;1664.171332
1;8;2013;1664.683789
1;9;2013;1665.196404
1;10;2013;1665.709177
1;11;2013;1666.222108
1;12;2013;1666.735196
1;1;2014;1667.248443
1;2;2014;1667.761848
1;3;2014;1668.27541
1;4;2014;1668.789131
1;5;2014;1669.30301
1;6;2014;1669.817048
1;7;2014;1670.320817
1;8;2014;1670.815783
1;9;2014;1671.310895
1;10;2014;1671.806154
1;11;2014;1672.301559
1;12;2014;1672.797112
1;1;2015;1673.292811
1;2;2015;1673.788657
1;3;2015;1674.28465
1;4;2015;1674.78079
1;5;2015;1675.277077
1;6;2015;1675.773511
1;7;2015;1676.260402
1;8;2015;1676.739343
1;9;2015;1677.21842
1;10;2015;1677.697634
1;11;2015;1678.176985
1;12;2015;1678.656473
1;1;2016;1679.136098
1;2;2016;1679.61586
1;3;2016;1680.095759
1;4;2016;1680.575795
1;5;2016;1681.055968
1;6;2016;1681.536279
1;7;2016;1682.007687
1;8;2016;1683.076987
1;9;2016;1684.146967
1;10;2016;1685.217628
1;11;2016;1686.288969
1;12;2016;1687.360991
1;1;2017;1688.433694
1;2;2017;1689.50708
1;3;2017;1690.581148
1;4;2017;1691.655899
1;5;2017;1692.731333
1;6;2017;1693.80745
1;7;2017;1694.839291
1;8;2017;1695.916749
1;9;2017;1696.994892
1;10;2017;1698.07372
1;11;2017;1699.153234
1;12;2017;1700.233434
1;1;2018;1701.314321
1;2;2018;1702.395896
1;3;2018;1703.478157
1;4;2018;1704.561107
1;5;2018;1705.644745
1;6;2018;1706.729072
1;7;2018;1707.768785
1;8;2018;1708.854462
1;9;2018;1709.94083
1;10;2018;1711.027888
1;11;2018;1712.115638
1;12;2018;1713.204079
1;1;2019;1714.293211
1;2;2019;1715.383037
1;3;2019;1716.473555
1;4;2019;1717.564766
1;5;2019;1718.656671
1;6;2019;1719.74927
1;7;2019;1720.796914
1;8;2019;1721.890874
1;9;2019;1722.98553
1;10;2019;1724.080881
1;11;2019;1725.176928
1;12;2019;1726.273673
1;1;2020;1727.371114
1;2;2020;1728.469253
1;3;2020;1729.568091
1;4;2020;1730.667627
1;5;2020;1731.767861
1;6;2020;1732.868796
1;7;2020;1733.924432
4;7;2006;30593.0246
4;8;2006;30612.47346
4;9;2006;30631.93469
4;10;2006;30651.40829
4;11;2006;30670.89426
4;12;2006;30690.39263
4;1;2007;30709.90339
4;2;2007;30729.42655
4;3;2007;30748.96213
4;4;2007;30768.51012
4;5;2007;30788.07054
4;6;2007;30807.6434
4;7;2007;30826.41093
4;8;2007;30846.00816
4;9;2007;30865.61785
4;10;2007;30885.24001
4;11;2007;30904.87464
4;12;2007;30924.52175
4;1;2008;30944.18135
4;2;2008;30963.85346
4;3;2008;30983.53806
4;4;2008;31003.23518
4;5;2008;31022.94483
4;6;2008;31042.667
4;7;2008;31061.5777
4;8;2008;31081.32444
4;9;2008;31101.08373
4;10;2008;31120.85557
4;11;2008;31140.63999
4;12;2008;31160.43699
4;1;2009;31180.24657
4;2;2009;31200.06874
4;3;2009;31219.90352
4;4;2009;31239.7509
4;5;2009;31259.61091
4;6;2009;31279.48354
4;7;2009;31298.5385
4;8;2009;31316.90531
4;9;2009;31335.2829
4;10;2009;31353.67127
4;11;2009;31372.07043
4;12;2009;31390.48039
4;1;2010;31408.90115
4;2;2010;31427.33273
4;3;2010;31445.77512
4;4;2010;31464.22833
4;5;2010;31482.69237
4;6;2010;31501.16724
4;7;2010;31519.65296
4;8;2010;31537.30702
4;9;2010;31557.35619
4;10;2010;31577.4181
4;11;2010;31597.49277
4;12;2010;31617.5802
4;1;2011;31637.6804
4;2;2011;31657.79337
4;3;2011;31677.91914
4;4;2011;31698.0577
4;5;2011;31718.20906
4;6;2011;31738.37323
4;7;2011;31714.45733
4;8;2011;31728.73669
4;9;2011;31743.02247
4;10;2011;31757.31469
4;11;2011;31771.61334
4;12;2011;31785.91843
4;1;2012;31800.22996
4;2;2012;31814.54793
4;3;2012;31828.87235
4;4;2012;31843.20322
4;5;2012;31857.54054
4;6;2012;31871.88432
4;7;2012;31885.80959
4;8;2012;31902.289
4;9;2012;31918.77692
4;10;2012;31935.27337
4;11;2012;31951.77834
4;12;2012;31968.29184
4;1;2013;31984.81388
4;2;2013;32001.34446
4;3;2013;32017.88358
4;4;2013;32034.43125
4;5;2013;32050.98747
4;6;2013;32067.55224
4;7;2013;32083.56249
4;8;2013;32093.44215
4;9;2013;32103.32486
4;10;2013;32113.2106
4;11;2013;32123.09939
4;12;2013;32132.99123
4;1;2014;32142.88611
4;2;2014;32152.78404
4;3;2014;32162.68502
4;4;2014;32172.58905
4;5;2014;32182.49612
4;6;2014;32192.40625
4;7;2014;32202.11843
4;8;2014;32211.66087
4;9;2014;32221.20614
4;10;2014;32230.75423
4;11;2014;32240.30516
4;12;2014;32249.85891
4;1;2015;32259.4155
4;2;2015;32268.97492
4;3;2015;32278.53717
4;4;2015;32288.10225
4;5;2015;32297.67017
4;6;2015;32307.24092
4;7;2015;32316.6277
4;8;2015;32325.86119
4;9;2015;32335.09732
4;10;2015;32344.33609
4;11;2015;32353.5775
4;12;2015;32362.82155
4;1;2016;32372.06824
4;2;2016;32381.31757
4;3;2016;32390.56955
4;4;2016;32399.82417
4;5;2016;32409.08143
4;6;2016;32418.34134
4;7;2016;32427.4296
4;8;2016;32448.04465
4;9;2016;32468.6728
4;10;2016;32489.31406
4;11;2016;32509.96845
4;12;2016;32530.63596
4;1;2017;32551.31662
4;2;2017;32572.01042
4;3;2017;32592.71738
4;4;2017;32613.4375
4;5;2017;32634.1708
4;6;2017;32654.91727
4;7;2017;32674.81014
4;8;2017;32695.58245
4;9;2017;32716.36796
4;10;2017;32737.16669
4;11;2017;32757.97865
4;12;2017;32778.80383
4;1;2018;32799.64225
4;2;2018;32820.49393
4;3;2018;32841.35885
4;4;2018;32862.23704
4;5;2018;32883.12851
4;6;2018;32904.03325
4;7;2018;32924.07787
4;8;2018;32945.00865
4;9;2018;32965.95273
4;10;2018;32986.91013
4;11;2018;33007.88085
4;12;2018;33028.86491
4;1;2019;33049.8623
4;2;2019;33070.87305
4;3;2019;33091.89715
4;4;2019;33112.93461
4;5;2019;33133.98545
4;6;2019;33155.04967
4;7;2019;33175.24721
4;8;2019;33196.33766
4;9;2019;33217.44152
4;10;2019;33238.5588
4;11;2019;33259.6895
4;12;2019;33280.83364
4;1;2020;33301.99121
4;2;2020;33323.16224
4;3;2020;33344.34673
4;4;2020;33365.54469
4;5;2020;33386.75612
4;6;2020;33407.98103
4;7;2020;33428.33265
5;7;2006;36617.64993
5;8;2006;36640.92882
5;9;2006;36664.22251
5;10;2006;36687.531
5;11;2006;36710.85432
5;12;2006;36734.19246
5;1;2007;36757.54543
5;2;2007;36780.91326
5;3;2007;36804.29593
5;4;2007;36827.69348
5;5;2007;36851.1059
5;6;2007;36874.5332
5;7;2007;36896.99658
5;8;2007;36920.45306
5;9;2007;36943.92445
5;10;2007;36967.41076
5;11;2007;36990.912
5;12;2007;37014.42818
5;1;2008;37037.95931
5;2;2008;37061.5054
5;3;2008;37085.06646
5;4;2008;37108.64249
5;5;2008;37132.23352
5;6;2008;37155.83954
5;7;2008;37178.47429
5;8;2008;37202.10971
5;9;2008;37225.76016
5;10;2008;37249.42564
5;11;2008;37273.10616
5;12;2008;37296.80174
5;1;2009;37320.51239
5;2;2009;37344.2381
5;3;2009;37367.9789
5;4;2009;37391.7348
5;5;2009;37415.50579
5;6;2009;37439.2919
5;7;2009;37462.09933
5;8;2009;37484.08308
5;9;2009;37506.07973
5;10;2009;37528.08928
5;11;2009;37550.11176
5;12;2009;37572.14715
5;1;2010;37594.19548
5;2;2010;37616.25675
5;3;2010;37638.33096
5;4;2010;37660.41813
5;5;2010;37682.51825
5;6;2010;37704.63135
5;7;2010;37726.75742
5;8;2010;37747.88806
5;9;2010;37771.88547
5;10;2010;37795.89814
5;11;2010;37819.92608
5;12;2010;37843.96928
5;1;2011;37868.02778
5;2;2011;37892.10157
5;3;2011;37916.19066
5;4;2011;37940.29507
