"time","date","hour","premise","offense","beat","block","street","type","suffix","number","month","day","location","address","lon","lat"
"01/01/10 06:00","01/01/10",0,"18A","murder","1,50E+31","9600-9699","marlive","ln","-",1,"january","friday","apartment parking lot","9650 marlive ln",-95.4373883,29.6779015
"05/01/10 21:00","01/05/10",15,"20A","murder","6B60","1300-1399","greens","pkwy","-",1,"january","tuesday","apartment","1350 greens pkwy",-95.439438,29.942918
"06/01/10 04:00","01/05/10",22,"18A","murder","19G50","10200-10299","bissonnet","st","-",1,"january","tuesday","apartment parking lot","10250 bissonnet st",-95.5590627,29.6748034
"07/01/10 00:00","01/06/10",18,"20R","murder","6B40","1000-1099","marjorie","","-",1,"january","wednesday","residence / house","1050 marjorie",-95.4273229,29.8737623
"07/01/10 00:00","01/06/10",18,"20R","murder","8C50","8200-8299","parker","rd","-",1,"january","wednesday","residence / house","8250 parker rd",-95.2749319,29.8605973
"07/01/10 07:00","01/07/10",1,"13R","murder","10H50","2700-2799","canfield","st","-",1,"january","thursday","road / street / sidewalk","2750 canfield st",-95.350733,29.7318104
"07/01/10 21:00","01/07/10",15,"20A","murder","8C20","6700-6799","bennington","","-",1,"january","thursday","apartment","6750 bennington",-95.3050873,29.817136
"09/01/10 04:00","01/08/10",22,"20R","murder","11H30","3000-3099","broadway","st","-",1,"january","friday","residence / house","3050 broadway st",-95.2778469,29.6958906
"09/01/10 20:00","01/09/10",14,"13R","murder","5F20","9000-9099","long point","rd","-",1,"january","saturday","road / street / sidewalk","9050 long point rd",-95.513673,29.801468
"11/01/10 05:00","01/10/10",23,"20R","murder","2A50","1100-1199","thompson","","-",1,"january","sunday","residence / house","1150 thompson",-95.4040093,29.7715943
"16/01/10 04:00","1/15/2010",22,"20R","murder","10H60","3400-3499","tampa","","-",1,"january","friday","residence / house","3450 tampa",-95.3670152,29.7046425
"18/01/10 00:00","1/17/2010",18,"18C","murder","10H50","2800-2899","mcgowen","st","-",1,"january","sunday","convenience store parking lot","2850 mcgowen st",-95.3578412,29.7355854
"18/01/10 20:00","1/18/2010",14,"13R","murder","10H40","4300-4399","garrott","st","-",1,"january","monday","road / street / sidewalk","4350 garrott st",-95.3858127,29.734514
"18/01/10 22:00","1/18/2010",16,"70","murder","8C20","8100-8199","homestead","rd","-",1,"january","monday","convenience store","8150 homestead rd",-95.3020122,29.8365551
"22/01/10 21:00","1/22/2010",15,"13R","murder","19G10","9900-9999","club creek","dr","-",1,"january","friday","road / street / sidewalk","9950 club creek dr",-95.550454,29.683659
"02/02/10 10:00","02/02/10",4,"20A","murder","13D40","10200-10299","telephone","rd","-",1,"february","tuesday","apartment","10250 telephone rd",-95.2853132,29.6181716
"03/02/10 02:00","02/02/10",20,"20A","murder","1A50","3300-3399","cummins","st","-",1,"february","tuesday","apartment","3350 cummins st",-95.4385476,29.7354667
"04/02/10 00:00","02/03/10",18,"20A","murder","20G10","5900-5999","ranchester","dr","-",1,"february","wednesday","apartment","5950 ranchester dr",-95.5468968,29.7139882
"04/02/10 11:00","02/04/10",5,"18C","murder","18F50","9200-9299","richmond","ave","-",1,"february","thursday","convenience store parking lot","9250 richmond ave",-95.5263839,29.7291259
"05/02/10 01:00","02/04/10",19,"20R","murder","14D20","5300-5399","jezebel","","-",1,"february","thursday","residence / house","5350 jezebel",-95.344113,29.6490301
"05/02/10 01:00","02/04/10",19,"20A","murder","19G50","10800-10899","kipp way","dr","-",1,"february","thursday","apartment","10850 kipp way dr",-95.280156,29.844368
"05/02/10 02:00","02/04/10",20,"20A","murder","12D40","700-799","fm 1959","","-",2,"february","thursday","apartment"," 750 fm 1959",-95.180106,29.5926966
"05/02/10 07:00","02/05/10",1,"20A","murder","7C10","5300-5399","coke","st","-",1,"february","friday","apartment","5350 coke st",-95.3191242,29.7679419
"05/02/10 11:00","02/05/10",5,"20R","murder","1,60E+41","15700-15799","munson","ln","-",1,"february","friday","residence / house","15750 munson ln",-95.4739109,29.5974679
"06/02/10 09:00","02/06/10",3,"03B","murder","5F10","2000-2099","wirt","rd","-",1,"february","saturday","bar / night club","2050 wirt rd",-95.4849907,29.8095289
"07/02/10 09:00","02/07/10",3,"03B","murder","6B40","700-799","mount houston","rd","W",1,"february","sunday","bar / night club"," 750 mount houston rd",-95.4137874,29.8983143
"09/02/10 22:00","02/09/10",16,"13S","murder","3B50","3400-3499","north","fwy","-",1,"february","tuesday","freeway service road","3450 north fwy",-95.374605,29.8121119
"14/02/10 03:00","2/13/2010",21,"20A","murder","4F10","1300-1399","witte","rd","-",1,"february","saturday","apartment","1350 witte rd",-95.5390479,29.793077
"14/02/10 04:00","2/13/2010",22,"20A","murder","5F20","8600-8699","pitner","","-",1,"february","saturday","apartment","8650 pitner",-95.505236,29.830377
"14/02/10 05:00","2/13/2010",23,"20A","murder","2A30","200-299","27th","st","W",1,"february","saturday","apartment"," 250 27th st",-95.396152,29.8113745
"14/02/10 09:00","2/14/2010",3,"20R","murder","6B30","7400-7499","breezeway","st","-",1,"february","sunday","residence / house","7450 breezeway st",-95.5033242,29.8751153
"21/02/10 10:00","2/21/2010",4,"20R","murder","8C10","7900-7999","shotwell","","-",1,"february","sunday","residence / house","7950 shotwell",-95.3130333,29.8330912
"22/02/10 03:00","2/21/2010",21,"18A","murder","1,70E+31","8800-8899","gustine","ln","-",1,"february","sunday","apartment parking lot","8850 gustine ln",-95.5340087,29.6697723
"23/02/10 04:00","2/22/2010",22,"13R","murder","1,70E+41","10300-10399","sandpiper","dr","-",1,"february","monday","road / street / sidewalk","10350 sandpiper dr",-95.5043409,29.6687654
